timestamp_ms,timestamp_iso,active_provider,on_fallback,coverage_pct,area_sqm,active_robots,accuracy,latency_ms,reliability,freshness_ms,degraded
1775418189352,2026-04-05T21:43:09+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418192347,2026-04-05T21:43:12+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418195354,2026-04-05T21:43:15+02:00,idt1a,0,0,0,2,0.95,2,0.97,0,0
1775418198350,2026-04-05T21:43:18+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418201348,2026-04-05T21:43:21+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418204347,2026-04-05T21:43:24+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418207347,2026-04-05T21:43:27+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418210385,2026-04-05T21:43:30+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418213367,2026-04-05T21:43:33+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418216346,2026-04-05T21:43:36+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418219349,2026-04-05T21:43:39+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418222353,2026-04-05T21:43:42+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418225353,2026-04-05T21:43:45+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418228351,2026-04-05T21:43:48+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418231354,2026-04-05T21:43:51+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418234348,2026-04-05T21:43:54+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418236750,2026-04-05T21:43:56+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418239751,2026-04-05T21:43:59+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418242754,2026-04-05T21:44:02+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418245755,2026-04-05T21:44:05+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418248752,2026-04-05T21:44:08+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418251760,2026-04-05T21:44:11+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418254753,2026-04-05T21:44:14+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418257751,2026-04-05T21:44:17+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418260757,2026-04-05T21:44:20+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418263753,2026-04-05T21:44:23+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418266789,2026-04-05T21:44:26+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418269358,2026-04-05T21:44:29+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418272320,2026-04-05T21:44:32+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418275330,2026-04-05T21:44:35+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418278335,2026-04-05T21:44:38+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418281341,2026-04-05T21:44:41+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418284320,2026-04-05T21:44:44+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418287325,2026-04-05T21:44:47+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418290346,2026-04-05T21:44:50+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418293333,2026-04-05T21:44:53+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418296320,2026-04-05T21:44:56+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418299320,2026-04-05T21:44:59+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418301733,2026-04-05T21:45:01+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418304742,2026-04-05T21:45:04+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418307752,2026-04-05T21:45:07+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418310733,2026-04-05T21:45:10+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418313742,2026-04-05T21:45:13+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418316739,2026-04-05T21:45:16+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418319743,2026-04-05T21:45:19+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418322739,2026-04-05T21:45:22+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418325765,2026-04-05T21:45:25+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418328738,2026-04-05T21:45:28+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418331747,2026-04-05T21:45:31+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418334145,2026-04-05T21:45:34+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418337150,2026-04-05T21:45:37+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418340205,2026-04-05T21:45:40+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418343146,2026-04-05T21:45:43+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418346186,2026-04-05T21:45:46+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418349167,2026-04-05T21:45:49+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418352170,2026-04-05T21:45:52+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418355164,2026-04-05T21:45:55+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418358145,2026-04-05T21:45:58+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418361146,2026-04-05T21:46:01+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418363345,2026-04-05T21:46:03+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418366345,2026-04-05T21:46:06+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418369344,2026-04-05T21:46:09+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418372421,2026-04-05T21:46:12+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418375386,2026-04-05T21:46:15+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418378344,2026-04-05T21:46:18+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418381346,2026-04-05T21:46:21+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418384349,2026-04-05T21:46:24+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418387345,2026-04-05T21:46:27+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418390350,2026-04-05T21:46:30+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418393346,2026-04-05T21:46:33+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418395688,2026-04-05T21:46:35+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418398685,2026-04-05T21:46:38+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418401680,2026-04-05T21:46:41+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418404723,2026-04-05T21:46:44+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418407749,2026-04-05T21:46:47+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418410679,2026-04-05T21:46:50+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418413685,2026-04-05T21:46:53+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418416692,2026-04-05T21:46:56+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418419680,2026-04-05T21:46:59+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418422686,2026-04-05T21:47:02+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418425691,2026-04-05T21:47:05+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418427918,2026-04-05T21:47:07+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418430914,2026-04-05T21:47:10+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418433914,2026-04-05T21:47:13+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418436945,2026-04-05T21:47:16+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418439922,2026-04-05T21:47:19+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418442912,2026-04-05T21:47:22+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1775418445938,2026-04-05T21:47:25+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418448935,2026-04-05T21:47:28+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1775418451912,2026-04-05T21:47:31+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
