run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,degraded4,onset4_s,rate4,fail4_s,recover4_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,173,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,174,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,175,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,176,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,177,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,178,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,179,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,180,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,181,qos_aware,idt2b,0.55,4.0,0.72,0.6745,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,182,qos_aware,idt2a,0.73671,24.4267,0.750241,0.743897,1
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,183,qos_aware,idt2a,0.85921,19.1767,0.874991,0.85296,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,184,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,185,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,186,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,187,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,188,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,189,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,190,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,191,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,192,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,193,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,194,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,195,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,196,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,197,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,198,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,199,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,200,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,201,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,202,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,203,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,204,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,205,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,206,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,207,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,208,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
