run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
2,999193817,0.3,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.717446,0.807975,idt2b,0.807975,0.807975,0.0,0.3,0.35,0.35
2,999193817,0.35,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.733421,0.794427,idt2b,0.794427,0.794427,0.0,0.35,0.325,0.325
2,999193817,0.4,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.749397,0.780879,idt2b,0.780879,0.780879,0.0,0.4,0.3,0.3
2,999193817,0.45,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.765373,0.767331,idt2b,0.767331,0.767331,0.0,0.45,0.275,0.275
2,999193817,0.5,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.781348,0.753783,idt2a,0.781348,0.781348,0.0,0.5,0.25,0.25
2,999193817,0.55,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.797324,0.740236,idt2a,0.797324,0.797324,0.0,0.55,0.225,0.225
2,999193817,0.6,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.8133,0.726688,idt2a,0.8133,0.8133,0.0,0.6,0.2,0.2
2,999193817,0.65,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.829275,0.71314,idt2a,0.829275,0.829275,0.0,0.65,0.175,0.175
2,999193817,0.7,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.845251,0.699592,idt2a,0.845251,0.845251,0.0,0.7,0.15,0.15
2,999193817,0.75,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.861226,0.686044,idt2a,0.861226,0.861226,0.0,0.75,0.125,0.125
2,999193817,0.8,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.877202,0.672496,idt2a,0.877202,0.877202,0.0,0.8,0.1,0.1
2,999193817,0.85,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.893178,0.658949,idt2a,0.893178,0.893178,0.0,0.85,0.075,0.075
2,999193817,0.9,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.909153,0.645401,idt2a,0.909153,0.909153,0.0,0.9,0.05,0.05
2,999193817,0.95,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.925129,0.631853,idt2a,0.925129,0.925129,0.0,0.95,0.025,0.025
