run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,65,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,66,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,67,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,68,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,69,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,70,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,71,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,72,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,73,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,74,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,75,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,76,qos_aware,idt2b,0.75,8.0,0.91,0.849,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,77,qos_aware,idt2a,0.97,20.0,0.99,0.925,1
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,78,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,79,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,80,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,81,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,82,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,83,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,84,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,85,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,86,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
