timestamp_ms,timestamp_iso,active_provider,on_fallback,coverage_pct,area_sqm,active_robots,accuracy,latency_ms,reliability,freshness_ms,degraded
1774811444819,2026-03-29T21:10:44+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811447819,2026-03-29T21:10:47+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811450825,2026-03-29T21:10:50+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811453818,2026-03-29T21:10:53+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811456821,2026-03-29T21:10:56+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811459819,2026-03-29T21:10:59+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811462818,2026-03-29T21:11:02+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811465418,2026-03-29T21:11:05+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811468418,2026-03-29T21:11:08+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811471419,2026-03-29T21:11:11+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811474418,2026-03-29T21:11:14+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811477418,2026-03-29T21:11:17+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811480420,2026-03-29T21:11:20+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811483419,2026-03-29T21:11:23+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811486418,2026-03-29T21:11:26+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811489418,2026-03-29T21:11:29+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811492419,2026-03-29T21:11:32+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811495419,2026-03-29T21:11:35+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811498417,2026-03-29T21:11:38+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811501418,2026-03-29T21:11:41+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811504418,2026-03-29T21:11:44+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811507418,2026-03-29T21:11:47+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811510420,2026-03-29T21:11:50+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811513417,2026-03-29T21:11:53+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811516420,2026-03-29T21:11:56+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811519419,2026-03-29T21:11:59+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811522420,2026-03-29T21:12:02+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811525418,2026-03-29T21:12:05+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811528007,2026-03-29T21:12:08+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811531005,2026-03-29T21:12:11+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811534005,2026-03-29T21:12:14+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811537005,2026-03-29T21:12:17+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811540006,2026-03-29T21:12:20+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811543005,2026-03-29T21:12:23+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811546005,2026-03-29T21:12:26+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811549004,2026-03-29T21:12:29+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811552007,2026-03-29T21:12:32+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811555013,2026-03-29T21:12:35+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811558008,2026-03-29T21:12:38+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811561005,2026-03-29T21:12:41+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811564005,2026-03-29T21:12:44+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811567005,2026-03-29T21:12:47+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811570005,2026-03-29T21:12:50+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811573004,2026-03-29T21:12:53+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811576007,2026-03-29T21:12:56+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811579006,2026-03-29T21:12:59+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811582005,2026-03-29T21:13:02+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811585005,2026-03-29T21:13:05+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811588004,2026-03-29T21:13:08+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811591006,2026-03-29T21:13:11+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811593601,2026-03-29T21:13:13+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811596601,2026-03-29T21:13:16+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811599601,2026-03-29T21:13:19+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811602625,2026-03-29T21:13:22+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811605601,2026-03-29T21:13:25+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811608601,2026-03-29T21:13:28+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811611602,2026-03-29T21:13:31+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811614601,2026-03-29T21:13:34+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811617601,2026-03-29T21:13:37+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811620600,2026-03-29T21:13:40+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811623601,2026-03-29T21:13:43+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811626601,2026-03-29T21:13:46+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811629601,2026-03-29T21:13:49+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811632600,2026-03-29T21:13:52+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811635603,2026-03-29T21:13:55+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811638602,2026-03-29T21:13:58+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811641600,2026-03-29T21:14:01+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811644600,2026-03-29T21:14:04+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811647601,2026-03-29T21:14:07+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811650603,2026-03-29T21:14:10+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811653601,2026-03-29T21:14:13+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774811656194,2026-03-29T21:14:16+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774811659196,2026-03-29T21:14:19+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
